"InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country","PromoCode"
"538760","84406B","CREAM CUPID HEARTS COAT HANGER","3","2010-12-21 16:22:00","3.24","14606.0","France",""
"538760","85099B","JUMBO BAG RED RETROSPOT","4","2010-12-21 16:22:00","1.6","14606.0","France",""
"538760","22633","HAND WARMER UNION JACK","3","2010-12-21 16:22:00","1.78","14606.0","France","BULK5"
"538760","20685","DOORMAT RED RETROSPOT","9","2010-12-21 16:22:00","7.29","14606.0","France",""
"538761","21730","GLASS STAR FROSTED T-LIGHT HOLDER","3","2011-01-12 08:33:00","4.68","13047.0","Belgium",""
"538761","85099B","JUMBO BAG RED RETROSPOT","6","2011-01-12 08:33:00","1.92","13047.0","Belgium",""
"538761","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2011-01-12 08:33:00","3.76","13047.0","Belgium",""
"538762","22752","SET 7 BABUSHKA NESTING BOXES","6","2010-12-21 08:54:00","7.78","12583.0","Spain","BULK5"
"538762","47566","PARTY BUNTING","8","2010-12-21 08:54:00","5.43","12583.0","Spain",""
"538762","47566","PARTY BUNTING","4","2010-12-21 08:54:00","5.43","12583.0","Spain",""
"538762","84029E","RED WOOLLY HOTTIE WHITE HEART","2","2010-12-21 08:54:00","3.64","12583.0","Spain",""
"538763","85099B","JUMBO BAG RED RETROSPOT","12","2011-01-02 13:47:00","2.02","16029.0","Germany","SUMMER10"
"538763","22752","SET 7 BABUSHKA NESTING BOXES","6","2011-01-02 13:47:00","7.93","16029.0","Germany","NEWCUST"
"538764","85099B","JUMBO BAG RED RETROSPOT","4","2011-01-06 15:22:00","1.86","14096.0","Spain",""
"538764","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2011-01-06 15:22:00","3.87","14096.0","Spain",""
"538765","20685","DOORMAT RED RETROSPOT","4","2010-12-28 09:07:00","7.04","14096.0","Australia",""
"538765","21730","GLASS STAR FROSTED T-LIGHT HOLDER","2","2010-12-28 09:07:00","4.65","14096.0","Australia","NEWCUST"
"538766","22632","HAND WARMER RED POLKA DOT","8","2011-01-26 12:45:00","1.78","17850.0","Netherlands",""
"538766","22632","HAND WARMER RED POLKA DOT","8","2011-01-26 12:45:00","2.34","17850.0","Netherlands",""
"538766","85099B","JUMBO BAG RED RETROSPOT","5","2011-01-26 12:45:00","1.58","17850.0","Netherlands","SUMMER10"
"538766","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-01-26 12:45:00","2.73","17850.0","Netherlands","NEWCUST"
"538767","22752","SET 7 BABUSHKA NESTING BOXES","7","2011-01-12 12:02:00","7.58","17809.0","Spain","BULK5"
"538767","85123A","WHITE HANGING HEART T-LIGHT HOLDER","12","2011-01-12 12:02:00","2.85","17809.0","Spain","SUMMER10"
"538767","22632","HAND WARMER RED POLKA DOT","8","2011-01-12 12:02:00","1.87","17809.0","Spain",""
"538767","22752","SET 7 BABUSHKA NESTING BOXES","12","2011-01-12 12:02:00","7.79","17809.0","Spain",""
"538768","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2011-01-19 11:32:00","2.85","17809.0","United Kingdom",""
"538769","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2011-01-30 11:09:00","3.3","17850.0","Netherlands",""
"538769","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","1","2011-01-30 11:09:00","3.57","17850.0","Netherlands","SUMMER10"
"538769","20685","DOORMAT RED RETROSPOT","4","2011-01-30 11:09:00","7.01","17850.0","Netherlands",""
"538769","85099B","JUMBO BAG RED RETROSPOT","6","2011-01-30 11:09:00","1.94","17850.0","Netherlands","NEWCUST"
"538770","22632","HAND WARMER RED POLKA DOT","4","2011-01-18 16:38:00","2.21","14606.0","EIRE","NEWCUST"
"538770","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2011-01-18 16:38:00","4.45","14606.0","EIRE",""
"538771","20685","DOORMAT RED RETROSPOT","4","2011-01-09 15:40:00","7.41","15291.0","United Kingdom",""
"538771","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-01-09 15:40:00","4.33","15291.0","United Kingdom",""
"538771","22633","HAND WARMER UNION JACK","5","2011-01-09 15:40:00","2.0","15291.0","United Kingdom","SUMMER10"
"538771","71053","WHITE METAL LANTERN","11","2011-01-09 15:40:00","3.34","15291.0","United Kingdom","SUMMER10"
"538772","71053","WHITE METAL LANTERN","7","2011-01-25 08:54:00","3.75","16029.0","EIRE","NEWCUST"
"538772","85099B","JUMBO BAG RED RETROSPOT","4","2011-01-25 08:54:00","1.76","16029.0","EIRE",""
"538772","22752","SET 7 BABUSHKA NESTING BOXES","2","2011-01-25 08:54:00","7.7","16029.0","EIRE","SUMMER10"
"538773","47566","PARTY BUNTING","6","2010-12-13 08:00:00","5.36","17809.0","France","NEWCUST"
"538774","47566","PARTY BUNTING","10","2011-01-11 12:19:00","5.28","15311.0","United Kingdom","NEWCUST"
"538774","47566","PARTY BUNTING","6","2011-01-11 12:19:00","5.29","15311.0","United Kingdom","NEWCUST"
"538774","84029E","RED WOOLLY HOTTIE WHITE HEART","1","2011-01-11 12:19:00","3.36","15311.0","United Kingdom",""
"538775","22752","SET 7 BABUSHKA NESTING BOXES","5","2010-12-23 08:12:00","7.7","16029.0","Spain","NEWCUST"
"538775","84406B","CREAM CUPID HEARTS COAT HANGER","6","2010-12-23 08:12:00","3.19","16029.0","Spain","BULK5"
"538775","20685","DOORMAT RED RETROSPOT","1","2010-12-23 08:12:00","7.17","16029.0","Spain",""
"538775","20685","DOORMAT RED RETROSPOT","12","2010-12-23 08:12:00","7.04","16029.0","Spain",""
"538776","85099B","JUMBO BAG RED RETROSPOT","5","2011-01-25 14:50:00","1.55","12583.0","Germany",""
"538776","47566","PARTY BUNTING","12","2011-01-25 14:50:00","4.97","12583.0","Germany","NEWCUST"
"538776","22633","HAND WARMER UNION JACK","6","2011-01-25 14:50:00","1.94","12583.0","Germany",""
"538777","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-13 14:27:00","3.31","14096.0","United Kingdom",""
"538777","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","9","2011-01-13 14:27:00","3.58","14096.0","United Kingdom","SUMMER10"
"538777","84406B","CREAM CUPID HEARTS COAT HANGER","8","2011-01-13 14:27:00","3.16","14096.0","United Kingdom",""
"538777","22633","HAND WARMER UNION JACK","11","2011-01-13 14:27:00","2.25","14096.0","United Kingdom",""
"538778","71053","WHITE METAL LANTERN","8","2011-01-05 12:32:00","3.56","13047.0","France",""
"538778","84029E","RED WOOLLY HOTTIE WHITE HEART","6","2011-01-05 12:32:00","3.48","13047.0","France",""
"538778","84029E","RED WOOLLY HOTTIE WHITE HEART","9","2011-01-05 12:32:00","3.73","13047.0","France",""
"538778","47566","PARTY BUNTING","2","2011-01-05 12:32:00","4.9","13047.0","France",""
"538779","22633","HAND WARMER UNION JACK","5","2011-01-11 12:44:00","1.86","15311.0","Australia",""
"538780","85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","2010-12-13 09:22:00","2.79","14606.0","Germany","SUMMER10"
"538781","84406B","CREAM CUPID HEARTS COAT HANGER","11","2010-12-10 08:48:00","3.12","17850.0","Germany",""
"538781","47566","PARTY BUNTING","3","2010-12-10 08:48:00","5.07","17850.0","Germany",""
"538781","20685","DOORMAT RED RETROSPOT","7","2010-12-10 08:48:00","7.03","17850.0","Germany","BULK5"
"538781","85123A","WHITE HANGING HEART T-LIGHT HOLDER","4","2010-12-10 08:48:00","2.96","17850.0","Germany",""
"538782","22632","HAND WARMER RED POLKA DOT","5","2011-01-09 11:10:00","2.26","15291.0","Germany",""
"538782","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2011-01-09 11:10:00","2.76","15291.0","Germany","BULK5"
"538783","84029E","RED WOOLLY HOTTIE WHITE HEART","2","2011-01-13 11:10:00","3.83","13047.0","EIRE",""
"538783","71053","WHITE METAL LANTERN","1","2011-01-13 11:10:00","3.67","13047.0","EIRE","NEWCUST"
"538783","84406B","CREAM CUPID HEARTS COAT HANGER","3","2011-01-13 11:10:00","3.16","13047.0","EIRE",""
"538783","20685","DOORMAT RED RETROSPOT","2","2011-01-13 11:10:00","7.23","13047.0","EIRE","BULK5"
"538784","85099B","JUMBO BAG RED RETROSPOT","2","2011-01-17 12:11:00","1.56","15311.0","Netherlands",""
"538784","22632","HAND WARMER RED POLKA DOT","12","2011-01-17 12:11:00","2.28","15311.0","Netherlands",""
"538784","71053","WHITE METAL LANTERN","2","2011-01-17 12:11:00","3.66","15311.0","Netherlands","BULK5"
"538785","22633","HAND WARMER UNION JACK","1","2010-12-04 13:09:00","1.87","15311.0","United Kingdom",""
"538786","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-19 08:45:00","3.6","14606.0","Spain","SUMMER10"
"538787","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2011-01-27 12:47:00","2.91","17809.0","Netherlands",""
"538787","85099B","JUMBO BAG RED RETROSPOT","6","2011-01-27 12:47:00","1.95","17809.0","Netherlands",""
"538787","22632","HAND WARMER RED POLKA DOT","7","2011-01-27 12:47:00","2.25","17809.0","Netherlands",""
"538787","22752","SET 7 BABUSHKA NESTING BOXES","3","2011-01-27 12:47:00","7.79","17809.0","Netherlands",""
"538788","85099B","JUMBO BAG RED RETROSPOT","4","2010-12-11 11:05:00","2.08","13777.0","United Kingdom","SUMMER10"
"538788","47566","PARTY BUNTING","2","2010-12-11 11:05:00","5.24","13777.0","United Kingdom","BULK5"
"538788","22632","HAND WARMER RED POLKA DOT","9","2010-12-11 11:05:00","1.93","13777.0","United Kingdom",""
"538789","20685","DOORMAT RED RETROSPOT","2","2011-01-18 13:14:00","7.58","13777.0","Netherlands",""
"538789","85123A","WHITE HANGING HEART T-LIGHT HOLDER","9","2011-01-18 13:14:00","2.51","13777.0","Netherlands","BULK5"
"538790","84406B","CREAM CUPID HEARTS COAT HANGER","10","2011-01-30 11:13:00","3.16","15311.0","France","SUMMER10"
"538790","47566","PARTY BUNTING","12","2011-01-30 11:13:00","5.0","15311.0","France","SUMMER10"
"538790","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2011-01-30 11:13:00","2.48","15311.0","France",""
"538790","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-01-30 11:13:00","2.96","15311.0","France",""
"538791","22632","HAND WARMER RED POLKA DOT","12","2010-12-03 08:47:00","2.28","15291.0","Netherlands","SUMMER10"
"538791","20685","DOORMAT RED RETROSPOT","8","2010-12-03 08:47:00","7.14","15291.0","Netherlands","SUMMER10"
"538792","20685","DOORMAT RED RETROSPOT","4","2011-01-19 15:10:00","7.51","17850.0","Australia","NEWCUST"
"538793","22632","HAND WARMER RED POLKA DOT","2","2010-12-28 10:39:00","2.1","14096.0","Belgium",""
"538793","22633","HAND WARMER UNION JACK","9","2010-12-28 10:39:00","2.06","14096.0","Belgium",""
"538793","22632","HAND WARMER RED POLKA DOT","11","2010-12-28 10:39:00","2.21","14096.0","Belgium","BULK5"
"538794","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2010-12-28 13:03:00","3.3","13777.0","Germany",""
"538794","71053","WHITE METAL LANTERN","10","2010-12-28 13:03:00","3.42","13777.0","Germany",""
"538794","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-28 13:03:00","1.64","13777.0","Germany","SUMMER10"
"538795","84029E","RED WOOLLY HOTTIE WHITE HEART","5","2011-01-19 16:48:00","3.77","16029.0","United Kingdom",""
"538796","84406B","CREAM CUPID HEARTS COAT HANGER","7","2011-01-10 16:35:00","2.86","14606.0","France","BULK5"
"538796","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-10 16:35:00","3.32","14606.0","France","SUMMER10"
"538796","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2011-01-10 16:35:00","4.23","14606.0","France","NEWCUST"
"538797","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-01-07 09:00:00","3.39","14096.0","Netherlands","NEWCUST"
"538797","85099B","JUMBO BAG RED RETROSPOT","2","2011-01-07 09:00:00","1.77","14096.0","Netherlands",""
"538798","20685","DOORMAT RED RETROSPOT","1","2010-12-05 16:20:00","7.05","15291.0","Netherlands","SUMMER10"
"538798","22632","HAND WARMER RED POLKA DOT","4","2010-12-05 16:20:00","2.06","15291.0","Netherlands","BULK5"
"538798","71053","WHITE METAL LANTERN","2","2010-12-05 16:20:00","3.54","15291.0","Netherlands","BULK5"
"538798","84029E","RED WOOLLY HOTTIE WHITE HEART","8","2010-12-05 16:20:00","3.3","15291.0","Netherlands","SUMMER10"
"538799","85099B","JUMBO BAG RED RETROSPOT","11","2010-12-08 16:15:00","1.96","14606.0","Netherlands",""
"538799","84406B","CREAM CUPID HEARTS COAT HANGER","10","2010-12-08 16:15:00","3.06","14606.0","Netherlands","BULK5"
"538799","85099B","JUMBO BAG RED RETROSPOT","7","2010-12-08 16:15:00","2.03","14606.0","Netherlands","SUMMER10"
"538799","22633","HAND WARMER UNION JACK","11","2010-12-08 16:15:00","1.99","14606.0","Netherlands","NEWCUST"
"538800","85099B","JUMBO BAG RED RETROSPOT","2","2010-12-01 09:19:00","1.61","15311.0","Australia","SUMMER10"
"538801","20685","DOORMAT RED RETROSPOT","9","2010-12-27 15:38:00","7.55","17809.0","United Kingdom",""
"538801","21730","GLASS STAR FROSTED T-LIGHT HOLDER","5","2010-12-27 15:38:00","4.66","17809.0","United Kingdom",""
"538801","85123A","WHITE HANGING HEART T-LIGHT HOLDER","8","2010-12-27 15:38:00","2.82","17809.0","United Kingdom","SUMMER10"
"538802","71053","WHITE METAL LANTERN","7","2010-12-12 09:52:00","3.72","14606.0","United Kingdom","BULK5"
"538802","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2010-12-12 09:52:00","3.33","14606.0","United Kingdom",""
"538802","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2010-12-12 09:52:00","4.28","14606.0","United Kingdom","SUMMER10"
"538803","21730","GLASS STAR FROSTED T-LIGHT HOLDER","2","2011-01-19 15:12:00","4.45","15311.0","EIRE",""
"538803","22632","HAND WARMER RED POLKA DOT","5","2011-01-19 15:12:00","1.91","15311.0","EIRE",""
"538804","85099B","JUMBO BAG RED RETROSPOT","5","2011-01-27 15:19:00","1.87","15291.0","Netherlands","BULK5"
"538804","71053","WHITE METAL LANTERN","3","2011-01-27 15:19:00","3.45","15291.0","Netherlands","SUMMER10"
"538805","85099B","JUMBO BAG RED RETROSPOT","7","2011-01-18 09:51:00","1.73","16029.0","Netherlands",""
"538805","22632","HAND WARMER RED POLKA DOT","11","2011-01-18 09:51:00","2.16","16029.0","Netherlands",""
"538805","22633","HAND WARMER UNION JACK","11","2011-01-18 09:51:00","1.76","16029.0","Netherlands",""
"538805","20685","DOORMAT RED RETROSPOT","5","2011-01-18 09:51:00","7.42","16029.0","Netherlands",""
"538806","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","8","2011-01-27 09:12:00","3.32","14606.0","Germany","NEWCUST"
"538807","21730","GLASS STAR FROSTED T-LIGHT HOLDER","4","2010-12-26 10:07:00","4.19","12583.0","Australia",""
"538807","22633","HAND WARMER UNION JACK","7","2010-12-26 10:07:00","1.8","12583.0","Australia",""
"538807","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2010-12-26 10:07:00","3.5","12583.0","Australia","NEWCUST"
"538808","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2010-12-17 11:40:00","3.03","14096.0","EIRE",""
"538809","85099B","JUMBO BAG RED RETROSPOT","3","2011-01-06 14:28:00","1.74","12583.0","Netherlands","BULK5"
"538809","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2011-01-06 14:28:00","3.58","12583.0","Netherlands",""
"538809","85123A","WHITE HANGING HEART T-LIGHT HOLDER","2","2011-01-06 14:28:00","2.64","12583.0","Netherlands","BULK5"
"538810","21730","GLASS STAR FROSTED T-LIGHT HOLDER","10","2011-01-20 10:47:00","4.66","17850.0","Germany",""
"538810","84029E","RED WOOLLY HOTTIE WHITE HEART","11","2011-01-20 10:47:00","3.8","17850.0","Germany",""
"538810","47566","PARTY BUNTING","1","2011-01-20 10:47:00","5.08","17850.0","Germany",""
"538810","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2011-01-20 10:47:00","2.7","17850.0","Germany",""
"538811","20685","DOORMAT RED RETROSPOT","10","2010-12-04 12:17:00","7.54","15311.0","Spain",""
"538811","47566","PARTY BUNTING","7","2010-12-04 12:17:00","5.41","15311.0","Spain",""
"538811","22633","HAND WARMER UNION JACK","8","2010-12-04 12:17:00","2.14","15311.0","Spain","SUMMER10"
"538811","22752","SET 7 BABUSHKA NESTING BOXES","8","2010-12-04 12:17:00","7.78","15311.0","Spain",""
"538812","85099B","JUMBO BAG RED RETROSPOT","9","2011-01-18 09:11:00","1.56","17850.0","United Kingdom","BULK5"
"538812","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2011-01-18 09:11:00","3.33","17850.0","United Kingdom",""
"538812","22632","HAND WARMER RED POLKA DOT","2","2011-01-18 09:11:00","2.31","17850.0","United Kingdom","SUMMER10"
"538812","47566","PARTY BUNTING","9","2011-01-18 09:11:00","5.43","17850.0","United Kingdom","NEWCUST"
"538813","22752","SET 7 BABUSHKA NESTING BOXES","10","2010-12-20 11:25:00","7.99","15311.0","EIRE",""
"538813","85123A","WHITE HANGING HEART T-LIGHT HOLDER","3","2010-12-20 11:25:00","2.79","15311.0","EIRE","NEWCUST"
"538813","21730","GLASS STAR FROSTED T-LIGHT HOLDER","3","2010-12-20 11:25:00","4.55","15311.0","EIRE",""
"538814","84029E","RED WOOLLY HOTTIE WHITE HEART","12","2010-12-30 15:04:00","3.69","14096.0","Netherlands",""
"538814","85099B","JUMBO BAG RED RETROSPOT","7","2010-12-30 15:04:00","1.86","14096.0","Netherlands","NEWCUST"
"538814","22752","SET 7 BABUSHKA NESTING BOXES","8","2010-12-30 15:04:00","7.71","14096.0","Netherlands",""
"538815","85099B","JUMBO BAG RED RETROSPOT","3","2011-01-03 16:49:00","1.74","12583.0","Netherlands","SUMMER10"
"538815","22632","HAND WARMER RED POLKA DOT","4","2011-01-03 16:49:00","2.27","12583.0","Netherlands","NEWCUST"
"538815","20685","DOORMAT RED RETROSPOT","7","2011-01-03 16:49:00","7.26","12583.0","Netherlands","SUMMER10"
"538816","22752","SET 7 BABUSHKA NESTING BOXES","9","2011-01-26 11:23:00","7.82","13777.0","France",""
"538816","22633","HAND WARMER UNION JACK","3","2011-01-26 11:23:00","2.31","13777.0","France",""
"538817","85099B","JUMBO BAG RED RETROSPOT","12","2010-12-27 11:51:00","1.84","17809.0","France",""
"538817","22632","HAND WARMER RED POLKA DOT","11","2010-12-27 11:51:00","1.98","17809.0","France",""
"538817","20685","DOORMAT RED RETROSPOT","9","2010-12-27 11:51:00","7.15","17809.0","France","SUMMER10"
"538817","22752","SET 7 BABUSHKA NESTING BOXES","6","2010-12-27 11:51:00","7.68","17809.0","France","BULK5"
"538818","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2010-12-16 09:58:00","3.77","16029.0","EIRE","BULK5"
"538818","20685","DOORMAT RED RETROSPOT","7","2010-12-16 09:58:00","7.01","16029.0","EIRE","NEWCUST"
"538818","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-16 09:58:00","3.58","16029.0","EIRE","SUMMER10"
"538819","22632","HAND WARMER RED POLKA DOT","1","2010-12-05 11:41:00","2.22","14096.0","United Kingdom",""
"538819","47566","PARTY BUNTING","1","2010-12-05 11:41:00","4.88","14096.0","United Kingdom","BULK5"
"538819","22632","HAND WARMER RED POLKA DOT","9","2010-12-05 11:41:00","2.13","14096.0","United Kingdom",""
"538820","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2010-12-15 08:18:00","2.75","15291.0","EIRE",""
"538820","20685","DOORMAT RED RETROSPOT","2","2010-12-15 08:18:00","7.58","15291.0","EIRE","SUMMER10"
"538821","47566","PARTY BUNTING","4","2010-12-24 10:34:00","5.31","14096.0","EIRE","BULK5"
"538821","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-24 10:34:00","3.49","14096.0","EIRE",""
"538822","22752","SET 7 BABUSHKA NESTING BOXES","11","2010-12-24 16:10:00","7.94","14606.0","Spain",""
"538822","84406B","CREAM CUPID HEARTS COAT HANGER","4","2010-12-24 16:10:00","2.95","14606.0","Spain",""
"538822","84406B","CREAM CUPID HEARTS COAT HANGER","1","2010-12-24 16:10:00","2.81","14606.0","Spain","BULK5"
"538822","47566","PARTY BUNTING","4","2010-12-24 16:10:00","5.02","14606.0","Spain",""
"538823","47566","PARTY BUNTING","5","2011-01-09 13:06:00","5.08","15311.0","United Kingdom",""
"538823","22633","HAND WARMER UNION JACK","9","2011-01-09 13:06:00","2.29","15311.0","United Kingdom","NEWCUST"
"538824","85099B","JUMBO BAG RED RETROSPOT","11","2010-12-23 08:15:00","1.86","16029.0","EIRE",""
"538825","22632","HAND WARMER RED POLKA DOT","11","2010-12-28 14:22:00","2.18","15311.0","EIRE",""
"538825","20685","DOORMAT RED RETROSPOT","4","2010-12-28 14:22:00","7.08","15311.0","EIRE","SUMMER10"
"538825","47566","PARTY BUNTING","7","2010-12-28 14:22:00","5.11","15311.0","EIRE","NEWCUST"
"538826","21730","GLASS STAR FROSTED T-LIGHT HOLDER","9","2010-12-11 13:43:00","4.71","14096.0","Germany",""
"538826","22632","HAND WARMER RED POLKA DOT","9","2010-12-11 13:43:00","1.9","14096.0","Germany",""
"538827","85123A","WHITE HANGING HEART T-LIGHT HOLDER","9","2010-12-23 08:35:00","2.84","15291.0","Netherlands","SUMMER10"
"538827","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-23 08:35:00","2.85","15291.0","Netherlands","BULK5"
"538827","21730","GLASS STAR FROSTED T-LIGHT HOLDER","11","2010-12-23 08:35:00","4.57","15291.0","Netherlands",""
"538827","84406B","CREAM CUPID HEARTS COAT HANGER","9","2010-12-23 08:35:00","3.19","15291.0","Netherlands",""
"538828","84029E","RED WOOLLY HOTTIE WHITE HEART","4","2010-12-21 14:20:00","3.63","13047.0","Belgium","NEWCUST"
"538828","85123A","WHITE HANGING HEART T-LIGHT HOLDER","6","2010-12-21 14:20:00","2.5","13047.0","Belgium",""
"538828","22752","SET 7 BABUSHKA NESTING BOXES","7","2010-12-21 14:20:00","8.07","13047.0","Belgium",""
"538829","21730","GLASS STAR FROSTED T-LIGHT HOLDER","6","2011-01-03 10:10:00","4.36","15311.0","Australia","NEWCUST"
"538829","47566","PARTY BUNTING","10","2011-01-03 10:10:00","5.44","15311.0","Australia","NEWCUST"
"538829","20685","DOORMAT RED RETROSPOT","10","2011-01-03 10:10:00","7.52","15311.0","Australia","BULK5"
"538829","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","2","2011-01-03 10:10:00","3.79","15311.0","Australia",""
"538830","85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","2010-12-12 11:59:00","2.46","17809.0","Germany","SUMMER10"
"538830","21730","GLASS STAR FROSTED T-LIGHT HOLDER","7","2010-12-12 11:59:00","4.53","17809.0","Germany","BULK5"
"538831","22752","SET 7 BABUSHKA NESTING BOXES","12","2010-12-05 12:24:00","8.11","15311.0","Spain",""
"538831","47566","PARTY BUNTING","10","2010-12-05 12:24:00","5.35","15311.0","Spain",""
"538832","21730","GLASS STAR FROSTED T-LIGHT HOLDER","3","2011-01-13 16:19:00","4.31","14606.0","Belgium","BULK5"
"538833","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","5","2010-12-22 14:00:00","3.33","15311.0","Spain",""
"538834","84029E","RED WOOLLY HOTTIE WHITE HEART","2","2011-01-25 13:48:00","3.38","17809.0","France",""
"538834","85123A","WHITE HANGING HEART T-LIGHT HOLDER","11","2011-01-25 13:48:00","3.03","17809.0","France",""
"538834","47566","PARTY BUNTING","4","2011-01-25 13:48:00","4.85","17809.0","France","NEWCUST"
"538834","22752","SET 7 BABUSHKA NESTING BOXES","4","2011-01-25 13:48:00","7.72","17809.0","France","SUMMER10"
"538835","85123A","WHITE HANGING HEART T-LIGHT HOLDER","5","2010-12-30 12:33:00","2.51","14096.0","Spain",""
"538836","47566","PARTY BUNTING","6","2011-01-21 11:14:00","5.25","17809.0","Australia",""
"538836","85099B","JUMBO BAG RED RETROSPOT","8","2011-01-21 11:14:00","1.71","17809.0","Australia",""
"538836","85123A","WHITE HANGING HEART T-LIGHT HOLDER","7","2011-01-21 11:14:00","2.95","17809.0","Australia",""
"538837","85099B","JUMBO BAG RED RETROSPOT","6","2010-12-12 12:27:00","1.67","13047.0","EIRE","SUMMER10"
"538838","84406B","CREAM CUPID HEARTS COAT HANGER","2","2011-01-07 13:21:00","2.84","12583.0","France","BULK5"
"538838","20685","DOORMAT RED RETROSPOT","4","2011-01-07 13:21:00","7.04","12583.0","France",""
"538838","22632","HAND WARMER RED POLKA DOT","10","2011-01-07 13:21:00","2.33","12583.0","France","NEWCUST"
"538838","22752","SET 7 BABUSHKA NESTING BOXES","6","2011-01-07 13:21:00","8.12","12583.0","France",""
"538839","20685","DOORMAT RED RETROSPOT","3","2010-12-13 16:36:00","7.55","13047.0","Spain",""
"538839","22632","HAND WARMER RED POLKA DOT","9","2010-12-13 16:36:00","2.03","13047.0","Spain",""
"538839","47566","PARTY BUNTING","12","2010-12-13 16:36:00","5.22","13047.0","Spain","SUMMER10"
"538839","22632","HAND WARMER RED POLKA DOT","12","2010-12-13 16:36:00","2.21","13047.0","Spain",""
"538840","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2010-12-10 16:40:00","3.37","17850.0","France",""
"538840","22633","HAND WARMER UNION JACK","7","2010-12-10 16:40:00","2.24","17850.0","France",""
"538840","22752","SET 7 BABUSHKA NESTING BOXES","7","2010-12-10 16:40:00","8.13","17850.0","France",""
"538840","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","11","2010-12-10 16:40:00","3.35","17850.0","France","NEWCUST"
"538841","22633","HAND WARMER UNION JACK","10","2010-12-07 12:51:00","2.24","13777.0","Germany",""
"538841","22752","SET 7 BABUSHKA NESTING BOXES","2","2010-12-07 12:51:00","7.91","13777.0","Germany","NEWCUST"
"538841","20685","DOORMAT RED RETROSPOT","10","2010-12-07 12:51:00","6.98","13777.0","Germany",""
"538842","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","6","2011-01-30 10:01:00","3.31","17809.0","Germany",""
"538842","84029G","KNITTED UNION FLAG HOT WATER BOTTLE","7","2011-01-30 10:01:00","3.61","17809.0","Germany","SUMMER10"
"538842","21730","GLASS STAR FROSTED T-LIGHT HOLDER","8","2011-01-30 10:01:00","4.71","17809.0","Germany",""
"538843","71053","WHITE METAL LANTERN","2","2011-01-18 14:16:00","3.78","16029.0","Spain",""
"538843","85099B","JUMBO BAG RED RETROSPOT","9","2011-01-18 14:16:00","1.93","16029.0","Spain",""
"538843","47566","PARTY BUNTING","3","2011-01-18 14:16:00","5.38","16029.0","Spain","NEWCUST"
"538844","22632","HAND WARMER RED POLKA DOT","3","2011-01-11 14:38:00","1.8","17850.0","United Kingdom","BULK5"
"538844","47566","PARTY BUNTING","1","2011-01-11 14:38:00","4.94","17850.0","United Kingdom",""
"538844","22752","SET 7 BABUSHKA NESTING BOXES","1","2011-01-11 14:38:00","7.81","17850.0","United Kingdom","BULK5"
"538844","84029E","RED WOOLLY HOTTIE WHITE HEART","9","2011-01-11 14:38:00","3.53","17850.0","United Kingdom",""
"538845","85099B","JUMBO BAG RED RETROSPOT","8","2011-01-13 13:06:00","1.84","16029.0","Netherlands","BULK5"
